#{"t_start": 1762874908.344348, "env_id": "CartPole-v1"}
r,l,t
14.0,14,5.86192
18.0,18,5.880836
10.0,10,6.031962
12.0,12,6.045633
15.0,15,6.155811
42.0,42,6.290129
44.0,44,6.417768
52.0,52,6.65966
62.0,62,6.898694
33.0,33,7.02183
25.0,25,7.133331
45.0,45,7.265666
89.0,89,7.605217
43.0,43,7.740201
45.0,45,7.956011
98.0,98,8.326708
27.0,27,8.454974
126.0,126,8.865964
162.0,162,9.534629
126.0,126,9.937243
126.0,126,10.537832
124.0,124,11.54769
122.0,122,12.025118
126.0,126,12.483237
122.0,122,12.945202
160.0,160,13.509305
200.0,200,14.124943
214.0,214,14.830352
500.0,500,18.106415
500.0,500,20.083886
500.0,500,23.615765
500.0,500,25.498254
500.0,500,27.734586
500.0,500,30.800834
500.0,500,32.635722
500.0,500,35.637095
500.0,500,37.368181
500.0,500,39.446585
500.0,500,42.308181
500.0,500,44.048221
500.0,500,46.602448
500.0,500,48.332988
500.0,500,50.313024
500.0,500,53.464014
500.0,500,55.529133
500.0,500,58.584713
500.0,500,60.661334
500.0,500,62.467883
